"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",8,"10.8%","8.1%","18.9%","50%","50%",24,29,41,2.2,"61.3%","25.0%","13%",-196,121,0.9,7.4,"22.7%",425,"21.9%","21.9%",0.41,0.15
"Ahri","-",0,"0%","1.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Akali","Middle",18,"24.3%","28.4%","52.7%","56%","72%",87,41,86,4.2,"63.4%","16.3%","28%",-89,19,-5.6,8,"24.3%",439,"24.0%","23.7%",0.35,0.17
"Alistar","Support",27,"36.5%","13.5%","50.0%","52%","48%",24,99,254,2.8,"67.5%","24.1%","26%",-17,-112,-2.8,1.1,"2.9%",155,"7.9%","9.0%",1.54,0.34
"Annie","Middle",4,"5.4%","2.7%","8.1%","50%","0%",16,9,37,5.9,"82.8%","20.0%","25%",109,84,5.5,7.7,"23.0%",532,"27.2%","24.2%",0.32,0.21
"Aphelios","ADC",6,"8.1%","2.7%","10.8%","67%","100%",27,8,35,7.8,"71.3%","11.8%","33%",772,685,13,9.3,"33.8%",665,"33.4%","28.9%",0.34,0.34
"Ashe","ADC",6,"8.1%","6.8%","14.9%","83%","83%",22,8,46,8.5,"68.0%","14.5%","0%",-300,-27,-4.2,8,"28.0%",499,"25.4%","22.3%",0.41,0.36
"Azir","-",0,"0%","5.4%","5.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bard","Support",1,"1.4%","0.0%","1.4%","0%","100%",1,5,7,1.6,"66.7%","22.7%","0%",-347,-31,-2,1.1,"2.3%",279,"15.2%","7.8%",1.94,0.28
"Braum","Support",10,"13.5%","1.4%","14.9%","30%","90%",8,32,92,3.1,"78.1%","22.2%","30%",13,46,1.7,1.1,"2.4%",153,"8.3%","9.4%",1.47,0.3
"Caitlyn","ADC",1,"1.4%","0.0%","1.4%","100%","0%",5,1,6,11,"57.9%","25.0%","0%",289,224,11,10,"32.1%",458,"20.7%","26.5%",0.29,0.46
"Camille","Top",4,"5.4%","9.5%","14.9%","100%","75%",29,6,21,8.3,"66.7%","24.0%","25%",490,301,7,7.7,"23.5%",575,"27.1%","24.4%",0.3,0.18
"Cassiopeia","Middle",2,"2.7%","4.1%","6.8%","50%","100%",16,4,15,7.8,"86.1%","12.9%","50%",397,216,4,9.2,"35.9%",508,"25.4%","31.0%",0.48,0.31
"Cho'Gath","Top",4,"5.4%","1.4%","6.8%","50%","100%",10,19,27,1.9,"50.7%","28.4%","0%",-21,-342,-3.3,6.3,"20.2%",427,"16.8%","18.4%",0.43,0.11
"Corki","Middle",2,"2.7%","1.4%","4.1%","50%","100%",11,11,12,2.1,"76.7%","27.5%","0%",-117,-28,3.5,8.1,"29.0%",968,"39.2%","27.1%",0.41,0.17
"Darius","Top",2,"2.7%","9.5%","12.2%","50%","50%",7,5,8,3,"51.7%","26.3%","0%",837,173,5.5,9.2,"25.8%",474,"25.3%","25.2%",0.36,0.09
"Diana","Middle",1,"1.4%","0.0%","1.4%","0%","0%",3,4,3,1.5,"60.0%","16.7%","0%",-935,-328,-7,7,"25.4%",454,"26.2%","24.0%",0.31,0.24
